Student_ID,Study_Effort,Attendance,Prior_Ability,Motivation,Stress,Sleep_Quality,Peer_Support,Time_Management,Digital_Distraction,Teaching_Effectiveness,Academic_Performance
S0001,0.724507122951685,0.9179226523903202,0.6054750415035866,0.3938288663183914,0.29457115110631193,0.5906736445168216,0.45288779626503683,0.7577777623465565,0.4933949472560879,0.8118482587216019,0.6169043124915443
S0002,0.6292603548243223,0.8609560419495322,0.6797673860998275,0.5509422483830748,0.4443833719909649,0.5865220248262605,0.5253603749393315,0.3733478556444698,0.39926994792488074,0.8488095242892534,0.5906688642984256
S0003,0.7471532807151039,0.7571556443904209,0.5890612110600053,0.6179591699867534,0.4532430369680004,0.39860995583179787,0.4786909724638633,0.7472118474833418,0.4655250085092676,0.7798427894562653,0.5756381586929761
S0004,0.8784544784612038,0.6723675866753311,0.6568853858505344,0.9631531486010285,0.535073462251813,0.6037873731617988,0.5378006271888294,0.6049413913222412,0.64294634550354,0.4869002770845876,0.597339144862707
S0005,0.6148769937914996,0.8337867976336308,0.43489394662646996,0.7634829686800637,0.20396549460945126,0.7525960714550444,0.5878774533933216,0.7461186566296572,0.7555713310061027,0.7013493080966688,0.5781996577313429
S0006,0.614879456457623,0.79721824625061,0.7298611190322114,0.4796777646350163,0.5566621092925195,0.4716075033292487,0.7455731729497077,0.7565397538532244,0.6140974661727148,0.5813150910099701,0.5339324059104061
S0007,0.8868819223261087,0.8574231864033279,0.7001687665507114,0.7529054434126456,0.0,0.796787571147083,0.5718261441941447,0.8811872591678737,0.520344641694354,0.6956873072498311,0.7433846710244211
S0008,0.7651152093729363,0.8262206162018364,0.5856075916504533,0.4479044016592452,0.33662078057451417,0.7182884749518074,0.3821561439845611,0.8430180471431805,0.7996023540608855,0.8376005083360673,0.5923797989187286
S0009,0.5795788421097572,0.8759463258383202,0.7922943935805367,0.8424036580830611,0.36211070835872194,0.5472073349240547,0.791010176974274,0.8419857493915445,0.4374327053896956,0.7566181003049967,0.6552464990068444
S0010,0.7313840065378947,0.6857717746127319,0.8312598192677181,0.6093313022273182,0.5639988286928229,0.6301858507727014,0.4944364799577441,0.8565505478749358,0.7061838676733814,0.857770903967692,0.5949492168989625
S0011,0.5804873460781307,0.908087287876119,0.47494161898834353,0.6659545716891244,0.4540735534818365,0.8737650530697447,0.6111919359343057,0.6837068477223919,0.44238744032974425,0.7610104704856246,0.6031523862691341
S0012,0.5801405369644614,0.773711952563088,0.59321853100073,0.8788694971313286,0.19699865030586844,0.7526966938908213,0.6869804760411067,0.6448277630555259,0.5862045916021786,0.5642008872397317,0.5966070999940576
S0013,0.6862943407349051,0.9990313047150319,0.5923200710297782,0.48692546471236253,0.2727012373529373,0.6512297116857407,0.6499415627604174,0.7709225624767502,0.4772874870419097,0.4174983592112718,0.6118375441645107
S0014,0.36300796330133034,0.6672974618292519,0.5684135658447589,0.4704322722330514,0.48576240171853324,0.6167243356254622,0.7841269321282214,0.7498121427149533,0.48882956346943784,0.7378570514015508,0.47121264121726486
S0015,0.3912623251230451,0.9583156563798298,0.8161264778704448,0.5924601010480993,0.43576787846437987,0.6607252698632323,0.6918504715089138,0.593640064489261,0.42452269650755803,0.6943288240378601,0.5848945730349281
S0016,0.5656568706138542,0.7737492940155177,0.6728643405718074,0.8357568276528975,0.34575766026556565,0.5783531018880775,0.4908035630454338,0.7007235113212402,0.7689708062361389,0.6027665112741741,0.5468848786920164
S0017,0.49807533194983644,0.6718298395662662,0.6629679222165145,0.4520980886784737,0.36344991788784375,0.35533506919933794,0.9467843260987492,0.6347355299823109,0.353414792378293,0.5159247300418346,0.4980552998025935
S0018,0.6971370998892911,0.6919336999134814,0.41945926898305447,0.25517666028341474,0.575310239488672,0.9359049074748624,0.649150019500735,0.5119100637309917,0.3519535494902583,0.6318308143832749,0.5232077687803257
S0019,0.5137963886718184,0.7115583230166815,0.7889585242292917,0.6123261712386503,0.3568153368835414,0.6717454998879162,0.5978989660067741,0.8335691112064525,0.9241987131690219,0.6966610218162268,0.5306498085553689
S0020,0.43815444479970633,0.80089991356823,0.5265038247205138,0.7627611199866381,0.43414357607476683,0.7057406171171552,0.7645888134583356,0.6482798863795134,0.6955695129308663,0.7999053388447668,0.5332070013078348
S0021,0.8698473153382331,0.8127402585642599,0.708390568237286,0.8600392624608244,0.8405885858544977,0.6418929150172328,0.6574176418895108,0.9473062386548277,0.022977260261392685,0.7426357297881576,0.7046048659252524
S0022,0.6161335549270197,0.6811559995273705,0.7388327713141468,0.6105257956871902,0.19373712536089388,0.5470836478985577,0.6798842289408991,0.39617615947002516,0.3869482521579193,0.9129680696607274,0.6038817373276635
S0023,0.6601292307031886,0.7470774489286821,0.8904922034174111,0.6182860089325997,0.1166683083165615,0.6239705726671722,0.9938275997901029,0.5564831840734951,0.13760213248758912,0.5957275132745526,0.6839085325743426
S0024,0.4362877720679815,1.0,0.5167651441233243,0.8530851101383621,0.5910461396637492,0.4260847332927964,0.578731785761743,0.6448958255036308,0.30986186131694893,0.8257270670468919,0.5681669861484979
S0025,0.5683425913212227,0.9573051804120853,0.27726829818508436,0.399538745045687,0.32784424896706144,0.9687921097274628,0.5723358658973906,0.8106071646443371,0.0,0.7256758491754474,0.6209003256657254
S0026,0.6666383884564799,0.8023588403608839,0.7257389362655172,0.6217218837225487,0.3927172450063284,0.47716832022086453,0.6374867768018696,0.6999204058903278,0.47260208446121155,0.8033602948942301,0.6065556816977445
S0027,0.4773509633866546,0.7545604173801841,0.9520715654115195,0.7085635834887587,0.3093918519363995,0.5055247202613948,0.7807273903371558,0.6865709131271127,0.27161163616773765,0.6676182164081348,0.616495777513057
S0028,0.7063547027518509,0.7644037592061913,0.8734524894115212,0.7473828081927552,0.40323597466184774,0.5883637113859039,0.3940198954714401,0.4709104311168779,0.5119810513592877,0.8486016448668707,0.6306469311127845
S0029,0.5599041965121793,0.82362215672765,0.7293523181384476,0.6035289960213677,0.7377368601773414,0.8303306014793329,0.3251666162785242,0.46645879041557936,0.17497574822349504,0.7554269710014291,0.5813419945391767
S0030,0.6062459375310085,0.6272648921761913,0.6311709340115134,0.6851661517558763,0.5943831225512615,0.6520312598967716,0.5319327094069779,0.6883756990434857,0.516582370634408,0.63846660180987,0.5191753753699253
S0031,0.5597440081655904,0.7191148155091986,0.8129971635292235,0.30675089698805164,0.6052002321396559,0.4769409885557353,0.37491155614110694,0.4353841009272462,0.41701674437593456,0.7185571165304174,0.4942265250818999
